State,Year,AverageTemp
Alabama,1895,16.46759259
Alabama,1896,17.92592593
Alabama,1897,17.88425926
Alabama,1898,17.21296296
Alabama,1899,17.27777778
Alabama,1900,17.44907407
Alabama,1901,16.3287037
Alabama,1902,17.5462963
Alabama,1903,16.65277778
Alabama,1904,17.09259259
Alabama,1905,17.01851852
Alabama,1906,17.375
Alabama,1907,17.625
Alabama,1908,17.80092593
Alabama,1909,17.69444444
Alabama,1910,17.03703704
Alabama,1911,18.51388889
Alabama,1912,16.73148148
Alabama,1913,17.56018519
Alabama,1914,17.12962963
Alabama,1915,17.33333333
Alabama,1916,17.46759259
Alabama,1917,16.58333333
Alabama,1918,17.65740741
Alabama,1919,17.8287037
Alabama,1920,16.83333333
Alabama,1921,18.72685185
Alabama,1922,18.42592593
Alabama,1923,17.4537037
Alabama,1924,16.80555556
Alabama,1925,18.31018519
Alabama,1926,17.16666667
Alabama,1927,18.65740741
Alabama,1928,16.93518519
Alabama,1929,17.46296296
Alabama,1930,17.37037037
Alabama,1931,17.80555556
Alabama,1932,17.78703704
Alabama,1933,18.38888889
Alabama,1934,17.44444444
Alabama,1935,17.54166667
Alabama,1936,17.6712963
Alabama,1937,17.43981481
Alabama,1938,18.0787037
Alabama,1939,17.70833333
Alabama,1940,16.20833333
Alabama,1941,17.55555556
Alabama,1942,16.94444444
Alabama,1943,17.35648148
Alabama,1944,17.56018519
Alabama,1945,17.69444444
Alabama,1946,17.83796296
Alabama,1947,17.02777778
Alabama,1948,17.44444444
Alabama,1949,17.90277778
Alabama,1950,17.28703704
Alabama,1951,17.64814815
Alabama,1952,17.41666667
Alabama,1953,17.64351852
Alabama,1954,17.875
Alabama,1955,17.46296296
Alabama,1956,17.5462963
Alabama,1957,17.75
Alabama,1958,16.23148148
Alabama,1959,17.19444444
Alabama,1960,16.41203704
Alabama,1961,16.62962963
Alabama,1962,17.25
Alabama,1963,16.51388889
Alabama,1964,16.88425926
Alabama,1965,17.22685185
Alabama,1966,16.46759259
Alabama,1967,16.62037037
Alabama,1968,16.11111111
Alabama,1969,16.31481481
Alabama,1970,16.73148148
Alabama,1971,17.0462963
Alabama,1972,17.19907407
Alabama,1973,17.25462963
Alabama,1974,17.27777778
Alabama,1975,17.125
Alabama,1976,15.93055556
Alabama,1977,16.9212963
Alabama,1978,16.59259259
Alabama,1979,16.31018519
Alabama,1980,16.92592593
Alabama,1981,16.65740741
Alabama,1982,17.41203704
Alabama,1983,16.21759259
Alabama,1984,17.12037037
Alabama,1985,17.10648148
Alabama,1986,17.8287037
Alabama,1987,17.24537037
Alabama,1988,16.70833333
Alabama,1989,16.77777778
Alabama,1990,18.28703704
Alabama,1991,17.75462963
Alabama,1992,16.72685185
Alabama,1993,16.84722222
Alabama,1994,17.25
Alabama,1995,17.24074074
Alabama,1996,16.73611111
Alabama,1997,16.87037037
Alabama,1998,18.40277778
Alabama,1999,17.85648148
Alabama,2000,17.53703704
Alabama,2001,17.24074074
Alabama,2002,17.54166667
Alabama,2003,17.07407407
Alabama,2004,17.40740741
Alabama,2005,17.43981481
Alabama,2006,17.88888889
Alabama,2007,18
Alabama,2008,17.17592593
Alabama,2009,17.1712963
Alabama,2010,17.06018519
Alabama,2011,17.68518519
Alabama,2012,18.28703704
Alabama,2013,17
Alabama,2014,16.68518519
Alabama,2015,18.12037037
Alabama,2016,18.52314815
Alabama,2017,18.35185185
Alabama,2018,18.02777778
Alabama,2019,18.54166667
Arizona,1895,14.71759259
Arizona,1896,15.5462963
Arizona,1897,14.79166667
Arizona,1898,15.00925926
Arizona,1899,15.09259259
Arizona,1900,15.59259259
Arizona,1901,15.52314815
Arizona,1902,15.36111111
Arizona,1903,14.99537037
Arizona,1904,15.36111111
Arizona,1905,14.87962963
Arizona,1906,15.00925926
Arizona,1907,15.25
Arizona,1908,14.84722222
Arizona,1909,14.69907407
Arizona,1910,16.21296296
Arizona,1911,14.875
Arizona,1912,14
Arizona,1913,14.15740741
Arizona,1914,15.50925926
Arizona,1915,14.56481481
Arizona,1916,14.87962963
Arizona,1917,14.81018519
Arizona,1918,14.89814815
Arizona,1919,14.49074074
Arizona,1920,14.3287037
Arizona,1921,15.51388889
Arizona,1922,14.79166667
Arizona,1923,14.36574074
Arizona,1924,14.78703704
Arizona,1925,15.05555556
Arizona,1926,15.33796296
Arizona,1927,15.2962963
Arizona,1928,15.35185185
Arizona,1929,14.74074074
Arizona,1930,14.74074074
Arizona,1931,15.12037037
Arizona,1932,14.65740741
Arizona,1933,14.86111111
Arizona,1934,16.51851852
Arizona,1935,15
Arizona,1936,15.72685185
Arizona,1937,15.06944444
Arizona,1938,15.1712963
Arizona,1939,15.35648148
Arizona,1940,16.02777778
Arizona,1941,14.53703704
Arizona,1942,15.09722222
Arizona,1943,15.82407407
Arizona,1944,14.43981481
Arizona,1945,14.73148148
Arizona,1946,15.1712963
Arizona,1947,15.18981481
Arizona,1948,14.75462963
Arizona,1949,14.53703704
Arizona,1950,15.8287037
Arizona,1951,14.9212963
Arizona,1952,14.90277778
Arizona,1953,15.13888889
Arizona,1954,16.0462963
Arizona,1955,14.69444444
Arizona,1956,15.30092593
Arizona,1957,15.30092593
Arizona,1958,15.77314815
Arizona,1959,15.66666667
Arizona,1960,15.31944444
Arizona,1961,15.13888889
Arizona,1962,15.46296296
Arizona,1963,15.43981481
Arizona,1964,14.31481481
Arizona,1965,14.70833333
Arizona,1966,15.27777778
Arizona,1967,15
Arizona,1968,14.80555556
Arizona,1969,15.38888889
Arizona,1970,14.97685185
Arizona,1971,14.56481481
Arizona,1972,15.35648148
Arizona,1973,14.66203704
Arizona,1974,15.26851852
Arizona,1975,14.38425926
Arizona,1976,14.98148148
Arizona,1977,15.6712963
Arizona,1978,15.44444444
Arizona,1979,14.89814815
Arizona,1980,15.68518519
Arizona,1981,16.29166667
Arizona,1982,14.85648148
Arizona,1983,15.11111111
Arizona,1984,15.24537037
Arizona,1985,15.30555556
Arizona,1986,15.875
Arizona,1987,15.17592593
Arizona,1988,15.66666667
Arizona,1989,16.23611111
Arizona,1990,15.39814815
Arizona,1991,15.13888889
Arizona,1992,15.3287037
Arizona,1993,15.44444444
Arizona,1994,15.86111111
Arizona,1995,16.11574074
Arizona,1996,16.59722222
Arizona,1997,15.84722222
Arizona,1998,15.15277778
Arizona,1999,15.99074074
Arizona,2000,16.48611111
Arizona,2001,16.22222222
Arizona,2002,16.20833333
Arizona,2003,16.61111111
Arizona,2004,15.78240741
Arizona,2005,16.18518519
Arizona,2006,16.18055556
Arizona,2007,16.43981481
Arizona,2008,15.89814815
Arizona,2009,16.15740741
Arizona,2010,15.77314815
Arizona,2011,15.74074074
Arizona,2012,16.72685185
Arizona,2013,15.80555556
